Designator,Mid X,Mid Y,Rotation,Layer
D1,79.709503,-136.889085,0.0,top
D10,142.798537,-121.75865,344.0,top
D11,150.729577,-159.403023,344.0,top
D12,155.415415,-143.061572,344.0,top
D13,160.101249,-126.720124,344.0,top
D14,124.607607,-169.597757,344.0,top
D15,143.308338,-176.747274,334.0,top
D2,79.709505,-119.889087,0.0,top
D3,102.018582,-125.651339,350.0,top
D4,104.970601,-108.909609,350.0,top
D5,117.89993,-140.614142,347.0,top
D6,121.7241,-124.049851,347.0,top
D7,125.548265,-107.48556,347.0,top
D8,133.426868,-154.441552,344.0,top
D9,138.112704,-138.100102,344.0,top
MCU1,171.15114,-144.641709,270.0,top
